naam,type,zoekterm
Adriatische Zee,sea,
Albanië,country,
Alpen,region,
Ankara,city,
Antwerpen,city,
Ardennen,region,
Athene,city,
Atlantische Oceaan,sea,
Barcelona,city,
België,country,
Belgrado,city,
Berlijn,city,
Bern,city,
Boekarest,city,
Bordeaux,city,
Bosnië en Herzegovina,country,
Bratislava,city,
Brussel,city,
Boedapest,city,
Bulgarije,country,
Chisinau,city,
Cyprus,country,
Denemarken,country,
Donau,river,
Dublin,city,
Duitsland,country,
Ebro,river,
Elbe,river,
Engeland,region,
Estland,country,
Finland,country,
Frankfurt,city,
Frankrijk,country,
Genève,city,
Glasgow,city,
Golf van Biskaje,sea,
Griekenland,country,
Hamburg,city,
Helsinki,city,
Het Kanaal,sea,
Hongarije,country,
Ierland,country,
IJsland,country,
Istanboel,city,
Italië,country,
Kaspische Zee,sea,
Kaukasus,region,
Keulen,city,
Kiev,city,
Kopenhagen,city,
Kroatië,country,
Letland,country,
Lille,city,Rijsel
Lissabon,city,
Litouwen,country,
Liverpool,city,
Ljubljana,city,
Loire,river,
Londen,city,
Luxemburg hertogdom,country,Luxemburg
Luxemburg stad,city,Luxemburg
Lyon,city,
Maas,river,
Macedonië,country,Noord-Macedonië
Madrid,city,
Malta,country,
Manchester,city,
Marseille,city,
Middellandse Zee,sea,
Milaan,city,
Minsk,city,
Moldavië,country,
Moskou,city,
München,city,
Napels,city,
Nederland,country,
Noord Ierland,region,Noord-Ierland
Noordelijke IJszee,sea,
Noordzee,sea,
Noorwegen,country,
Oekraïne,country,
Oeral,region,
Oostenrijk,country,
Oostzee,sea,
Oslo,city,
Parijs,city,
Po,river,
Polen,country,
Portugal,country,
Praag,city,
Pyreneeën,region,
Reykjavik,city,
Rhône,river,
Riga,city,
Rijn,river,
Roemenië,country,
Rome,city,
Ruhrgebied,region,
Rusland,country,
Sarajevo,city,
Scandinavië,region,
Schelde,river,
Schotland,region,
Seine,river,
Servië,country,
Sicilië,region,
Sint-Petersburg,city,
Skopje,city,
Slovenië,country,
Slowakije,country,
Sofia,city,
Spanje,country,
Stockholm,city,
Straat van Gibraltar,sea,
Straatsburg,city,
Taag,river,
Tallinn,city,
Theems,river,
Tirana,city,
Tsjechië,country,
Turijn,city,
Venetië,city,
Verenigd Koninkrijk,country,
Vilnius,city,
Vlaanderen,region,Vlaams-Brabant
Volga,river,Wolga
Wales,region,
Wallonië,region,Waals-Brabant
Warschau,city,
Wenen,city,
Wit-Rusland,country,
Zagreb,city,
Zwarte Zee,sea,
Zweden,country,
Zwitserland,country,
