naam,type,zoekterm
Adriatische zee,area,
Albanië,country,
Alpen,area,
Ankara,city,
Antwerpen,city,
Ardennen,area,Ardennes
Athene,city,
Atlantische oceaan,area,Noord Atlantische Oceaan
Barcelona,city,
België,country,
Belgrado,city,
Berlijn,city,
Bern,city,
Boekarest,city,
Bordeaux,city,
Bosnië en Herzegovina,country,
Bratislava,city,
Brussel,city,
Budapest,city,
Bulgarije,country,
Chisinau,city,
Cyprus,country,
Denemarken,country,
Donau,river,donau servië
Dublin,city,
Duitsland,country,
Ebro,river,
Elbe,river,elbe duitsland river
Engeland,area,
Estland,country,
Finland,country,
Frankfurt,city,
Frankrijk,country,
Genève,city,
Glasgow,city,
Golf van Biskaje,area,
Griekenland,country,
Hamburg,city,
Helsinki,city,
Het Kanaal,area,
Hongarije,country,
Ierland,country,
IJsland,country,
Istanbul,city,
Italië,country,
Kaspische zee,area,
Kaukasus,area,
Keulen,city,
Kiev,city,
Kopenhagen,city,
Kroatië,country,
Letland,country,
Lille,city,
Lissabon,city,
Litouwen,country,
Liverpool,city,
Ljubljana,city,
Loire,river,La Loire river
Londen,city,
Luxemburg hertogdom,country,luxemburg
Luxemburg stad,city,luxemburg canton luxemburg
Lyon,city,
Maas,river,
Macedonië,country,
Madrid,city,
Malta,country,
Manchester,city,
Marseille,city,
Middellandse zee,area,
Milaan,city,
Minsk,city,
Moldavië,country,
Moskou,city,
München,city,
Napels,city,
Nederland,country,
Noord Ierland,area,
Noordelijke ijszee,area,
Noordzee,area,
Noorwegen,country,
Oekraïne,country,
Oeral,area,
Oostenrijk,country,
Oostzee,area,
Oslo,city,
Parijs,city,
Po,river,po italië river
Polen,country,
Portugal,country,
Praag,city,
Pyreneeën,area,
Reykjavik,city,
Rhône,river,le rhône
Riga,city,
Rijn,river,
Roemenië,country,
Rome,city,
Ruhrgebied,area,
Rusland,country,
Sarajevo,city,
Scandinavië,area,Scandinavisch schiereiland
Schelde,river,Schelde België
Schotland,area,
Seine,river,
Servië,country,
Sicilië,area,
Sint-Petersburg,city,
Skopje,city,
Slovenië,country,
Slowakije,country,
Sofia,city,
Spanje,country,
Stockholm,city,
Straat van Gibraltar,area,
Straatsburg,city,
Taag,river,
Tallinn,city,
Theems,river,
Tirana,city,
Tsjechië,country,
Turijn,city,
Venetië,city,
Verenigd Koninkrijk,country,
Vilnius,city,
Vlaanderen,area,
Volga,river,
Wales,area,
Wallonië,area,
Warschau,city,
Wenen,city,
Wit-Rusland,country,
Zagreb,city,
Zwarte zee,area,
Zweden,country,
Zwitserland,country,
