naam,type,zoekterm
Antwerpen,city,
Ardennen,region,
België,country,
Brussel,city,
Denemarken,country,
Dublin,city,
Engeland,region,
Estland,country,
Finland,country,
Glasgow,city,
Helsinki,city,
Het Kanaal,sea,
Ierland,country,
IJsland,country,
Kopenhagen,city,
Letland,country,
Litouwen,country,
Liverpool,city,
Londen,city,
Nederland,country,
Noordzee,sea,
Noorwegen,country,
Oostzee,sea,
Oslo,city,
Rijn,river,
Scandinavië,region,
Schelde,river,
Schotland,region,
Stockholm,city,
Theems,river,
Verenigd Koninkrijk,country,
Vlaanderen,region,Vlaams-Brabant
Wallonië,region,Waals-Brabant
Zweden,country,
