naam,type,zoekterm
Grote Oceaan (Stille Oceaan),sea,Grote Oceaan
Indische Oceaan,sea,
Rode Zee,sea,Rode Zee
Perzische Golf,sea,
Nijl,river,
Nijl,river,Witte Nijl
Ganges,river,
Turkije,country,
Israël,country,
Irak,country,
Egypte,country,
Saudi-Arabië,country,Saoedi-Arabië
Iran,country,
Afghanistan,country,
Pakistan,country,
India,country,
Bangladesh,country,
Thailand,country,
Vietnam,country,
Filipijnen,country,
Indonesië,country,
Australië,country,
Nieuw-Zeeland,country,
Ankara,city,
Jeruzalem,city,
Caïro,city,
Mekka,city,
Teheran,city,
Delhi,city,
Kolkata (Calcutta),city,Calcutta
Mumbai (Bombay),city,Bombay
Bagdad,city,
Bangkok,city,
Singapore,city,
Jakarta,city,
Sydney,city,
Java,region,
Molukken,region,
Himalaya,region,
Midden-Oosten,region,Turkije
Midden-Oosten,region,Syrië
Midden-Oosten,region,Jordanië
Midden-Oosten,region,Saoedi-Arabië
Midden-Oosten,region,Egypte
Midden-Oosten,region,Israël
Midden-Oosten,region,Irak
Midden-Oosten,region,Jemen
Midden-Oosten,region,Oman
Midden-Oosten,region,Iran
Midden-Oosten,region,Afghanistan
Midden-Oosten,region,Verenigde Arabische Emiraten
Midden-Oosten,region,Qatar
Midden-Oosten,region,Bahrein
Midden-Oosten,region,Koeweit
Midden-Oosten,region,Libanon
Midden-Oosten,region,Palestina
Midden-Oosten,region,Koerdische Autonome Regio
