naam,type,zoekterm
Alpen,region,
Amsterdam,city,
Antwerpen,city,
België,country,
Berlijn,city,
Brussel,city,
Donau,river,
Duitsland,country,
Frankrijk,country,
Istanboel,city,
Italië,country,
Londen,city,
Luxemburg,country,Luxemburg
Madrid,city,
Middellandse Zee,sea,
Moskou,city,
Nederland,country,
Noordzee,sea,
Oostenrijk,country,
Oostzee,sea,
Parijs,city,
Polen,country,
Pyreneeën,region,
Rijn,river,
Rome,city,
Ruhrgebied,region,
Rusland,country,
Spanje,country,
Verenigd Koninkrijk,country,
Vlaanderen,region,Vlaams-Brabant
Volga,river,Wolga
Wenen,city,
Zweden,country,
Zwitserland,country,
